iter	Passed	Remaining
597	4031	16191
598	4038	16187
599	4045	16181
600	4050	16169
601	4057	16162
602	4063	16153
603	4071	16149
604	4078	16143
605	4085	16139
606	4091	16129
607	4097	16118
608	4104	16113
609	4110	16105
610	4117	16100
611	4123	16090
612	4129	16078
613	4134	16068
614	4140	16057
615	4146	16048
616	4153	16040
617	4159	16032
618	4165	16021
619	4171	16011
620	4177	16002
621	4183	15992
622	4189	15983
623	4195	15976
624	4203	15971
625	4209	15962
626	4215	15954
627	4222	15947
628	4228	15939
629	4234	15930
630	4240	15920
631	4247	15914
632	4253	15905
633	4259	15897
634	4266	15889
635	4272	15881
636	4279	15873
637	4285	15865
638	4291	15857
639	4298	15850
640	4305	15845
641	4312	15839
642	4319	15832
643	4325	15825
644	4331	15816
645	4338	15807
646	4344	15801
647	4350	15792
648	4356	15782
649	4364	15777
650	4370	15770
651	4377	15763
652	4384	15757
653	4390	15748
654	4397	15743
655	4403	15735
656	4413	15738
657	4420	15732
658	4426	15722
659	4431	15713
660	4438	15707
661	4445	15701
662	4452	15694
663	4459	15687
664	4466	15682
665	4471	15671
666	4478	15663
667	4484	15653
668	4490	15646
669	4497	15638
670	4503	15632
671	4510	15625
672	4516	15616
673	4522	15607
674	4529	15599
675	4535	15593
676	4544	15594
677	4551	15588
678	4557	15578
679	4565	15574
680	4571	15567
681	4578	15560
682	4584	15552
683	4591	15545
684	4597	15538
685	4603	15528
686	4609	15518
687	4614	15508
688	4620	15498
689	4627	15491
690	4633	15482
691	4640	15475
692	4647	15470
693	4653	15461
694	4659	15453
695	4665	15443
696	4671	15435
697	4677	15427
698	4684	15421
699	4691	15414
700	4698	15407
701	4703	15398
702	4710	15390
703	4717	15384
704	4723	15376
705	4730	15371
706	4737	15364
707	4743	15357
708	4749	15348
709	4755	15337
710	4761	15329
711	4767	15321
712	4774	15313
713	4781	15309
714	4787	15300
715	4793	15289
716	4799	15283
717	4806	15276
718	4814	15273
719	4821	15269
720	4828	15261
721	4834	15254
722	4841	15246
723	4847	15240
724	4854	15231
725	4860	15224
726	4867	15217
727	4874	15211
728	4880	15204
729	4887	15199
730	4895	15195
731	4901	15187
732	4908	15181
733	4914	15172
734	4921	15166
735	4927	15157
736	4934	15150
737	4942	15148
738	4948	15140
739	4955	15135
740	4962	15128
741	4968	15120
742	4975	15113
743	4981	15104
744	4987	15095
745	4993	15089
746	4999	15078
747	5006	15072
748	5012	15063
749	5019	15057
750	5025	15048
751	5031	15040
752	5038	15035
753	5047	15034
754	5054	15029
755	5061	15024
756	5068	15017
757	5074	15009
758	5080	15000
759	5087	14993
760	5093	14985
761	5099	14977
762	5108	14977
763	5118	14980
764	5125	14973
765	5132	14969
766	5139	14962
767	5146	14956
768	5154	14952
769	5160	14946
770	5167	14938
771	5173	14929
772	5179	14921
773	5186	14916
774	5193	14910
775	5200	14903
776	5207	14898
777	5214	14891
778	5219	14881
779	5227	14877
780	5233	14869
781	5239	14861
782	5246	14854
783	5253	14848
784	5259	14840
785	5266	14834
786	5273	14827
787	5278	14818
788	5285	14810
789	5291	14803
790	5297	14794
791	5304	14788
792	5310	14780
793	5316	14771
794	5323	14764
795	5329	14755
796	5335	14748
797	5342	14742
798	5349	14737
799	5356	14729
800	5369	14741
801	5376	14735
802	5384	14730
803	5391	14724
804	5399	14721
805	5406	14717
806	5413	14710
807	5419	14703
808	5425	14694
809	5432	14687
810	5439	14680
811	5445	14672
812	5451	14664
813	5459	14660
814	5466	14656
815	5474	14652
816	5481	14647
817	5488	14640
818	5496	14637
819	5504	14633
820	5511	14626
821	5517	14619
822	5524	14612
823	5532	14609
824	5539	14604
825	5548	14604
826	5556	14600
827	5563	14594
828	5570	14588
829	5579	14586
830	5587	14583
831	5594	14578
832	5602	14573
833	5608	14567
834	5616	14563
835	5624	14558
836	5632	14554
837	5638	14548
838	5647	14545
839	5653	14538
840	5660	14531
841	5668	14527
842	5674	14519
843	5680	14511
844	5688	14506
845	5694	14498
846	5700	14491
847	5707	14483
848	5714	14478
849	5720	14470
850	5728	14464
851	5735	14460
852	5742	14452
853	5749	14447
854	5756	14442
855	5762	14434
856	5769	14427
857	5776	14420
858	5782	14412
